Freq.	V(out)	frequency
1.03774645637840e+01	(1.41215686241948e+00dB,-6.84078318123988e+01°)	(2.03218251811136e+01dB,0.00000000000000e+00°)
1.06191867657620e+01	(1.35226434277785e+00dB,-7.08753093361119e+01°)	(2.05218251811136e+01dB,0.00000000000000e+00°)
1.08665394011248e+01	(1.27740599784055e+00dB,-7.34096743755680e+01°)	(2.07218251811136e+01dB,0.00000000000000e+00°)
1.11196536195137e+01	(1.18640114217688e+00dB,-7.60047880553546e+01°)	(2.09218251811136e+01dB,0.00000000000000e+00°)
1.13786636254377e+01	(1.07815780604528e+00dB,-7.86533048514069e+01°)	(2.11218251811136e+01dB,0.00000000000000e+00°)
1.16437067494303e+01	(9.51708348477277e-01dB,-8.13467399245838e+01°)	(2.13218251811136e+01dB,0.00000000000000e+00°)
1.19149235208642e+01	(8.06243771576801e-01dB,-8.40755918729280e+01°)	(2.15218251811136e+01dB,0.00000000000000e+00°)
1.21924577424615e+01	(6.41144390609327e-01dB,-8.68295197634430e+01°)	(2.17218251811136e+01dB,0.00000000000000e+00°)
1.24764565665400e+01	(4.56004544707592e-01dB,-8.95975682889459e+01°)	(2.19218251811136e+01dB,0.00000000000000e+00°)
1.27670705730356e+01	(2.50649344333724e-01dB,-9.23684299772927e+01°)	(2.21218251811136e+01dB,0.00000000000000e+00°)
1.30644538493412e+01	(2.51420310670333e-02dB,-9.51307293253946e+01°)	(2.23218251811136e+01dB,0.00000000000000e+00°)
1.33687640720061e+01	(-2.20218692603219e-01dB,-9.78733112295490e+01°)	(2.25218251811136e+01dB,0.00000000000000e+00°)
1.36801625903386e+01	(-4.84911129292867e-01dB,-1.00585515585072e+02°)	(2.27218251811136e+01dB,0.00000000000000e+00°)
1.39988145119548e+01	(-7.68211772475273e-01dB,-1.03257421523311e+02°)	(2.29218251811136e+01dB,0.00000000000000e+00°)
1.43248887903215e+01	(-1.06922345000520e+00dB,-1.05880048152984e+02°)	(2.31218251811136e+01dB,0.00000000000000e+00°)
1.46585583143371e+01	(-1.38690822117916e+00dB,-1.08445503280021e+02°)	(2.33218251811136e+01dB,0.00000000000000e+00°)
1.50000000000000e+01	(-1.72012266237757e+00dB,-1.10947076642988e+02°)	(2.35218251811136e+01dB,0.00000000000000e+00°)
1.53493948842113e+01	(-2.06765328321403e+00dB,-1.13379278982220e+02°)	(2.37218251811136e+01dB,0.00000000000000e+00°)
1.57069282207634e+01	(-2.42825013429201e+00dB,-1.15737832181559e+02°)	(2.39218251811136e+01dB,0.00000000000000e+00°)
1.60727895785640e+01	(-2.80065712063713e+00dB,-1.18019618444922e+02°)	(2.41218251811136e+01dB,0.00000000000000e+00°)
1.64471729421477e+01	(-3.18363803939477e+00dB,-1.20222597910906e+02°)	(2.43218251811136e+01dB,0.00000000000000e+00°)
1.68302768145294e+01	(-3.57599784601358e+00dB,-1.22345704388921e+02°)	(2.45218251811136e+01dB,0.00000000000000e+00°)
1.72223043224532e+01	(-3.97659907014331e+00dB,-1.24388728272877e+02°)	(2.47218251811136e+01dB,0.00000000000000e+00°)
1.76234633240929e+01	(-4.38437362404995e+00dB,-1.26352194458144e+02°)	(2.49218251811136e+01dB,0.00000000000000e+00°)
1.80339665192611e+01	(-4.79833046579706e+00dB,-1.28237241547532e+02°)	(2.51218251811136e+01dB,0.00000000000000e+00°)
1.84540315621857e+01	(-5.21755970468680e+00dB,-1.30045507023426e+02°)	(2.53218251811136e+01dB,0.00000000000000e+00°)
1.88838811769124e+01	(-5.64123378396574e+00dB,-1.31779021558081e+02°)	(2.55218251811136e+01dB,0.00000000000000e+00°)
1.93237432753969e+01	(-6.06860636534160e+00dB,-1.33440114335711e+02°)	(2.57218251811136e+01dB,0.00000000000000e+00°)
1.97738510783460e+01	(-6.49900949069091e+00dB,-1.35031330214577e+02°)	(2.59218251811136e+01dB,0.00000000000000e+00°)
2.02344432388747e+01	(-6.93184952500915e+00dB,-1.36555358768787e+02°)	(2.61218251811136e+01dB,0.00000000000000e+00°)
2.07057639690432e+01	(-7.36660230402497e+00dB,-1.38014974695523e+02°)	(2.63218251811136e+01dB,0.00000000000000e+00°)
2.11880631693412e+01	(-7.80280782909158e+00dB,-1.39412988717443e+02°)	(2.65218251811136e+01dB,0.00000000000000e+00°)
2.16815965611888e+01	(-8.24006477681611e+00dB,-1.40752207911263e+02°)	(2.67218251811136e+01dB,0.00000000000000e+00°)
2.21866258225230e+01	(-8.67802502461415e+00dB,-1.42035404312516e+02°)	(2.69218251811136e+01dB,0.00000000000000e+00°)
2.27034187265430e+01	(-9.11638833730191e+00dB,-1.43265290648771e+02°)	(2.71218251811136e+01dB,0.00000000000000e+00°)
2.32322492836871e+01	(-9.55489731399950e+00dB,-1.44444502110756e+02°)	(2.73218251811136e+01dB,0.00000000000000e+00°)
2.37733978869166e+01	(-9.99333265828160e+00dB,-1.45575583160907e+02°)	(2.75218251811136e+01dB,0.00000000000000e+00°)
2.43271514603839e+01	(-1.04315088065323e+01dB,-1.46660978485668e+02°)	(2.77218251811136e+01dB,0.00000000000000e+00°)
2.48938036115633e+01	(-1.08692699285483e+01dB,-1.47703027309791e+02°)	(2.79218251811136e+01dB,0.00000000000000e+00°)
2.54736547869261e+01	(-1.13064862993063e+01dB,-1.48703960400601e+02°)	(2.81218251811136e+01dB,0.00000000000000e+00°)
2.60670124312405e+01	(-1.17430510302971e+01dB,-1.49665899192742e+02°)	(2.83218251811136e+01dB,0.00000000000000e+00°)
2.66741911505837e+01	(-1.21788771418928e+01dB,-1.50590856556935e+02°)	(2.85218251811136e+01dB,0.00000000000000e+00°)
2.72955128791496e+01	(-1.26138949540083e+01dB,-1.51480738818573e+02°)	(2.87218251811136e+01dB,0.00000000000000e+00°)
2.79313070499429e+01	(-1.30480497701243e+01dB,-1.52337348703436e+02°)	(2.89218251811136e+01dB,0.00000000000000e+00°)
2.85819107694486e+01	(-1.34812998290073e+01dB,-1.53162388948955e+02°)	(2.91218251811136e+01dB,0.00000000000000e+00°)
2.92476689963706e+01	(-1.39136144987440e+01dB,-1.53957466371119e+02°)	(2.93218251811136e+01dB,0.00000000000000e+00°)
2.99289347245331e+01	(-1.43449726886793e+01dB,-1.54724096220270e+02°)	(2.95218251811136e+01dB,0.00000000000000e+00°)
3.06260691700428e+01	(-1.47753614562460e+01dB,-1.55463706694833e+02°)	(2.97218251811136e+01dB,0.00000000000000e+00°)
3.13394419628105e+01	(-1.52047747873252e+01dB,-1.56177643511360e+02°)	(2.99218251811136e+01dB,0.00000000000000e+00°)
3.20694313425333e+01	(-1.56332125305371e+01dB,-1.56867174453239e+02°)	(3.01218251811136e+01dB,0.00000000000000e+00°)
3.28164243592432e+01	(-1.60606794676483e+01dB,-1.57533493839768e+02°)	(3.03218251811136e+01dB,0.00000000000000e+00°)
3.35808170785250e+01	(-1.64871845040194e+01dB,-1.58177726872862e+02°)	(3.05218251811136e+01dB,0.00000000000000e+00°)
3.43630147915164e+01	(-1.69127399646781e+01dB,-1.58800933831081e+02°)	(3.07218251811136e+01dB,0.00000000000000e+00°)
3.51634322297987e+01	(-1.73373609831500e+01dB,-1.59404114090462e+02°)	(3.09218251811136e+01dB,0.00000000000000e+00°)
3.59824937852922e+01	(-1.77610649716071e+01dB,-1.59988209959360e+02°)	(3.11218251811136e+01dB,0.00000000000000e+00°)
3.68206337352753e+01	(-1.81838711621997e+01dB,-1.60554110320481e+02°)	(3.13218251811136e+01dB,0.00000000000000e+00°)
3.76782964726435e+01	(-1.86058002106125e+01dB,-1.61102654077888e+02°)	(3.15218251811136e+01dB,0.00000000000000e+00°)
3.85559367415328e+01	(-1.90268738539454e+01dB,-1.61634633410241e+02°)	(3.17218251811136e+01dB,0.00000000000000e+00°)
3.94540198784306e+01	(-1.94471146159628e+01dB,-1.62150796834132e+02°)	(3.19218251811136e+01dB,0.00000000000000e+00°)
4.03730220589036e+01	(-1.98665455535987e+01dB,-1.62651852083242e+02°)	(3.21218251811136e+01dB,0.00000000000000e+00°)
4.13134305500723e+01	(-2.02851900393459e+01dB,-1.63138468810389e+02°)	(3.23218251811136e+01dB,0.00000000000000e+00°)
4.22757439689666e+01	(-2.07030715748162e+01dB,-1.63611281120422e+02°)	(3.25218251811136e+01dB,0.00000000000000e+00°)
4.32604725468989e+01	(-2.11202136313390e+01dB,-1.64070889942435e+02°)	(3.27218251811136e+01dB,0.00000000000000e+00°)
4.42681383999956e+01	(-2.15366395139714e+01dB,-1.64517865250097e+02°)	(3.29218251811136e+01dB,0.00000000000000e+00°)
4.52992758060300e+01	(-2.19523722457426e+01dB,-1.64952748138942e+02°)	(3.31218251811136e+01dB,0.00000000000000e+00°)
4.63544314877036e+01	(-2.23674344693425e+01dB,-1.65376052769410e+02°)	(3.33218251811136e+01dB,0.00000000000000e+00°)
4.74341649025255e+01	(-2.27818483638094e+01dB,-1.65788268184252e+02°)	(3.35218251811136e+01dB,0.00000000000000e+00°)
4.85390485394440e+01	(-2.31956355740675e+01dB,-1.66189860008644e+02°)	(3.37218251811136e+01dB,0.00000000000000e+00°)
4.96696682223884e+01	(-2.36088171514246e+01dB,-1.66581272041052e+02°)	(3.39218251811136e+01dB,0.00000000000000e+00°)
5.08266234208801e+01	(-2.40214135033691e+01dB,-1.66962927742527e+02°)	(3.41218251811136e+01dB,0.00000000000000e+00°)
5.20105275678795e+01	(-2.44334443511966e+01dB,-1.67335231631753e+02°)	(3.43218251811136e+01dB,0.00000000000000e+00°)
5.32220083850361e+01	(-2.48449286941723e+01dB,-1.67698570592783e+02°)	(3.45218251811136e+01dB,0.00000000000000e+00°)
5.44617082155149e+01	(-2.52558847790778e+01dB,-1.68053315102001e+02°)	(3.47218251811136e+01dB,0.00000000000000e+00°)
5.57302843645756e+01	(-2.56663300741199e+01dB,-1.68399820380515e+02°)	(3.49218251811136e+01dB,0.00000000000000e+00°)
5.70284094480839e+01	(-2.60762812462856e+01dB,-1.68738427477759e+02°)	(3.51218251811136e+01dB,0.00000000000000e+00°)
5.83567717491418e+01	(-2.64857541413243e+01dB,-1.69069464291782e+02°)	(3.53218251811136e+01dB,0.00000000000000e+00°)
5.97160755830243e+01	(-2.68947637656103e+01dB,-1.69393246531333e+02°)	(3.55218251811136e+01dB,0.00000000000000e+00°)
6.11070416706166e+01	(-2.73033242692117e+01dB,-1.69710078624525e+02°)	(3.57218251811136e+01dB,0.00000000000000e+00°)
6.25304075205500e+01	(-2.77114489295416e+01dB,-1.70020254578593e+02°)	(3.59218251811136e+01dB,0.00000000000000e+00°)
6.39869278202386e+01	(-2.81191501350156e+01dB,-1.70324058794922e+02°)	(3.61218251811136e+01dB,0.00000000000000e+00°)
6.54773748360246e+01	(-2.85264393681713e+01dB,-1.70621766843293e+02°)	(3.63218251811136e+01dB,0.00000000000000e+00°)
6.70025388226441e+01	(-2.89333271877393e+01dB,-1.70913646199019e+02°)	(3.65218251811136e+01dB,0.00000000000000e+00°)
6.85632284422309e+01	(-2.93398232091680e+01dB,-1.71199956946411e+02°)	(3.67218251811136e+01dB,0.00000000000000e+00°)
7.01602711930794e+01	(-2.97459360831228e+01dB,-1.71480952451796e+02°)	(3.69218251811136e+01dB,0.00000000000000e+00°)
7.17945138483954e+01	(-3.01516734714848e+01dB,-1.71756880009097e+02°)	(3.71218251811136e+01dB,0.00000000000000e+00°)
7.34668229052665e+01	(-3.05570420203742e+01dB,-1.72027981460776e+02°)	(3.73218251811136e+01dB,0.00000000000000e+00°)
7.51780850440904e+01	(-3.09620473297193e+01dB,-1.72294493796784e+02°)	(3.75218251811136e+01dB,0.00000000000000e+00°)
7.69292075987043e+01	(-3.13666939188826e+01dB,-1.72556649733961e+02°)	(3.77218251811136e+01dB,0.00000000000000e+00°)
7.87211190374655e+01	(-3.17709851878352e+01dB,-1.72814678278166e+02°)	(3.79218251811136e+01dB,0.00000000000000e+00°)
8.05547694555375e+01	(-3.21749233733553e+01dB,-1.73068805271266e+02°)	(3.81218251811136e+01dB,0.00000000000000e+00°)
8.24311310786432e+01	(-3.25785094996978e+01dB,-1.73319253924945e+02°)	(3.83218251811136e+01dB,0.00000000000000e+00°)
8.43511987785519e+01	(-3.29817433231488e+01dB,-1.73566245343139e+02°)	(3.85218251811136e+01dB,0.00000000000000e+00°)
8.63159906005731e+01	(-3.33846232698485e+01dB,-1.73809999034746e+02°)	(3.87218251811136e+01dB,0.00000000000000e+00°)
8.83265483033379e+01	(-3.37871463662197e+01dB,-1.74050733418104e+02°)	(3.89218251811136e+01dB,0.00000000000000e+00°)
9.03839379111532e+01	(-3.41893081612973e+01dB,-1.74288666318560e+02°)	(3.91218251811136e+01dB,0.00000000000000e+00°)
9.24892502792218e+01	(-3.45911026401999e+01dB,-1.74524015460274e+02°)	(3.93218251811136e+01dB,0.00000000000000e+00°)
9.46436016720285e+01	(-3.49925221279337e+01dB,-1.74756998953220e+02°)	(3.95218251811136e+01dB,0.00000000000000e+00°)
9.68481343551978e+01	(-3.53935571826524e+01dB,-1.74987835776139e+02°)	(3.97218251811136e+01dB,0.00000000000000e+00°)
9.91040172011388e+01	(-3.57941964774373e+01dB,-1.75216746255958e+02°)	(3.99218251811136e+01dB,0.00000000000000e+00°)
1.01412446308797e+02	(-3.61944266695862e+01dB,-1.75443952543966e+02°)	(4.01218251811136e+01dB,0.00000000000000e+00°)
1.03774645637840e+02	(-3.65942322563280e+01dB,-1.75669679088710e+02°)	(4.03218251811136e+01dB,0.00000000000000e+00°)
1.06191867657620e+02	(-3.69935954157991e+01dB,-1.75894153105288e+02°)	(4.05218251811136e+01dB,0.00000000000000e+00°)
1.08665394011248e+02	(-3.73924958320340e+01dB,-1.76117605040326e+02°)	(4.07218251811136e+01dB,0.00000000000000e+00°)
1.11196536195137e+02	(-3.77909105026351e+01dB,-1.76340269031504e+02°)	(4.09218251811136e+01dB,0.00000000000000e+00°)
1.13786636254377e+02	(-3.81888135276967e+01dB,-1.76562383360029e+02°)	(4.11218251811136e+01dB,0.00000000000000e+00°)
1.16437067494303e+02	(-3.85861758784671e+01dB,-1.76784190893868e+02°)	(4.13218251811136e+01dB,0.00000000000000e+00°)
1.19149235208642e+02	(-3.89829651441372e+01dB,-1.77005939518959e+02°)	(4.15218251811136e+01dB,0.00000000000000e+00°)
1.21924577424614e+02	(-3.93791452550560e+01dB,-1.77227882554852e+02°)	(4.17218251811136e+01dB,0.00000000000000e+00°)
1.24764565665400e+02	(-3.97746761805818e+01dB,-1.77450279150426e+02°)	(4.19218251811136e+01dB,0.00000000000000e+00°)
1.27670705730356e+02	(-4.01695135996948e+01dB,-1.77673394654373e+02°)	(4.21218251811136e+01dB,0.00000000000000e+00°)
1.30644538493411e+02	(-4.05636085424269e+01dB,-1.77897500954049e+02°)	(4.23218251811136e+01dB,0.00000000000000e+00°)
1.33687640720061e+02	(-4.09569070000970e+01dB,-1.78122876775092e+02°)	(4.25218251811136e+01dB,0.00000000000000e+00°)
1.36801625903386e+02	(-4.13493495023044e+01dB,-1.78349807932794e+02°)	(4.27218251811136e+01dB,0.00000000000000e+00°)
1.39988145119548e+02	(-4.17408706586074e+01dB,-1.78578587524686e+02°)	(4.29218251811136e+01dB,0.00000000000000e+00°)
1.43248887903214e+02	(-4.21313986628340e+01dB,-1.78809516052042e+02°)	(4.31218251811136e+01dB,0.00000000000000e+00°)
1.46585583143371e+02	(-4.25208547580168e+01dB,-1.79042901456055e+02°)	(4.33218251811136e+01dB,0.00000000000000e+00°)
1.49999999999999e+02	(-4.29091526600547e+01dB,-1.79279059052336e+02°)	(4.35218251811136e+01dB,0.00000000000000e+00°)
1.53493948842112e+02	(-4.32961979383643e+01dB,-1.79518311344987e+02°)	(4.37218251811136e+01dB,0.00000000000000e+00°)
1.57069282207634e+02	(-4.36818873520291e+01dB,-1.79760987698984e+02°)	(4.39218251811136e+01dB,0.00000000000000e+00°)
1.60727895785640e+02	(-4.40661081402886e+01dB,1.79992576153163e+02°)	(4.41218251811136e+01dB,0.00000000000000e+00°)
1.64471729421477e+02	(-4.44487372666567e+01dB,1.79742038797416e+02°)	(4.43218251811136e+01dB,0.00000000000000e+00°)
1.68302768145293e+02	(-4.48296406165370e+01dB,1.79487054046873e+02°)	(4.45218251811136e+01dB,0.00000000000000e+00°)
1.72223043224531e+02	(-4.52086721489355e+01dB,1.79227272106199e+02°)	(4.47218251811136e+01dB,0.00000000000000e+00°)
1.76234633240928e+02	(-4.55856730037886e+01dB,1.78962341028039e+02°)	(4.49218251811136e+01dB,0.00000000000000e+00°)
1.80339665192611e+02	(-4.59604705675423e+01dB,1.78691908500607e+02°)	(4.51218251811136e+01dB,0.00000000000000e+00°)
