Freq.	V(out)
8.14760555608224e+00	(-1.13986003121321e-01dB,-6.82527063758361e+01°)
8.33738766940669e+00	(-1.19367709982782e-01dB,-6.98990489076211e+01°)
8.53159037603184e+00	(-1.24839097094287e-01dB,-7.15880155747091e+01°)
8.73031664480330e+00	(-1.30373652391629e-01dB,-7.33210616055325e+01°)
8.93367184301924e+00	(-1.35940274670885e-01dB,-7.50997471788187e+01°)
9.14176379229748e+00	(-1.41503028712754e-01dB,-7.69257521070843e+01°)
9.35470282574394e+00	(-1.47020995894885e-01dB,-7.88008928860096e+01°)
9.57260184645275e+00	(-1.52448264507159e-01dB,-8.07271424621152e+01°)
9.79557638736890e+00	(-1.57734117152519e-01dB,-8.27066531126077e+01°)
1.00237446725454e+01	(-1.62823489281460e-01dB,-8.47417828734026e+01°)
1.02572276798273e+01	(-1.67657793984668e-01dB,-8.68351259919036e+01°)
1.04961492049954e+01	(-1.72176234791822e-01dB,-8.89895479163875e+01°)
1.07406359274050e+01	(-1.76317761806664e-01dB,-9.12082253579545e+01°)
1.09908174771525e+01	(-1.80023868783032e-01dB,-9.34946919649368e+01°)
1.12468265038070e+01	(-1.83242481789497e-01dB,-9.58528901197009e+01°)
1.15087987467431e+01	(-1.85933256362003e-01dB,-9.82872292834520e+01°)
1.17768731071118e+01	(-1.88074682214932e-01dB,-1.00802651145645e+02°)
1.20511917214871e+01	(-1.89673495464168e-01dB,-1.03404701536630e+02°)
1.23319000372296e+01	(-1.90777020338566e-01dB,-1.06099608571348e+02°)
1.26191468896038e+01	(-1.91489206699038e-01dB,-1.08894365717440e+02°)
1.29130845806931e+01	(-1.91991294718303e-01dB,-1.11796817296356e+02°)
1.32138689601519e+01	(-1.92568216619123e-01dB,-1.14815742158597e+02°)
1.35216595078396e+01	(-1.93642020222212e-01dB,-1.17960928697370e+02°)
1.38366194183787e+01	(-1.95813735868395e-01dB,-1.21243230696169e+02°)
1.41589156876827e+01	(-1.99915144918764e-01dB,-1.24674588421623e+02°)
1.44887192014998e+01	(-2.07071739715652e-01dB,-1.28267992562795e+02°)
1.48262048260183e+01	(-2.18777625627670e-01dB,-1.32037359907400e+02°)
1.51715515005836e+01	(-2.36981960124369e-01dB,-1.35997279242988e+02°)
1.55249423325738e+01	(-2.64184419694412e-01dB,-1.40162574902489e+02°)
1.58865646944856e+01	(-3.03533742389140e-01dB,-1.44547626152490e+02°)
1.62566103232819e+01	(-3.58918269379604e-01dB,-1.49165378123366e+02°)
1.66352754220534e+01	(-4.35030554461052e-01dB,-1.54025992222266e+02°)
1.70227607640475e+01	(-5.37380210367007e-01dB,-1.59135122038173e+02°)
1.74192717991216e+01	(-6.72222235248438e-01dB,-1.64491876382454e+02°)
1.78250187626749e+01	(-8.46365972152345e-01dB,-1.70086650094884e+02°)
1.82402167871181e+01	(-1.06683806041635e+00dB,-1.75899153897778e+02°)
1.86650860159398e+01	(-1.34039638478478e+00dB,1.78102884976979e+02°)
1.90998517204287e+01	(-1.67293186456208e+00dB,1.71963824090953e+02°)
1.95447444191162e+01	(-2.06884250401823e+00dB,1.65738594918364e+02°)
1.99999999999999e+01	(-2.53050051491444e+00dB,1.59489485854583e+02°)
2.04658598456150e+01	(-3.05793607145914e+00dB,1.53281586068381e+02°)
2.09425709610179e+01	(-3.64881886883265e+00dB,1.47177682232156e+02°)
2.14303861047521e+01	(-4.29874257573444e+00dB,1.41233587288486e+02°)
2.19295639228636e+01	(-5.00173898415904e+00dB,1.35494732381267e+02°)
2.24403690860392e+01	(-5.75090102640983e+00dB,1.29994447144232e+02°)
2.29630724299376e+01	(-6.53899128558904e+00dB,1.24753885876753e+02°)
2.34979510987905e+01	(-7.35894603887611e+00dB,1.19783213651613e+02°)
2.40452886923482e+01	(-8.20423227663849e+00dB,1.15083528286134e+02°)
2.46053754162475e+01	(-9.06905660443063e+00dB,1.10649033223301e+02°)
2.51785082358833e+01	(-9.94845066849982e+00dB,1.06469110965856e+02°)
2.57649910338626e+01	(-1.08382676093835e+01dB,1.02530099057526e+02°)
2.63651347711281e+01	(-1.17351229068954e+01dB,9.88166945870941e+01°)
2.69792576518330e+01	(-1.26363064023285e+01dB,9.53129940416538e+01°)
2.76076852920576e+01	(-1.35396843637329e+01dB,9.20032174072584e+01°)
2.82507508924550e+01	(-1.44436034230224e+01dB,8.88721801760768e+01°)
2.89087954149184e+01	(-1.53468028730909e+01dB,8.59055757306693e+01°)
2.95821677633640e+01	(-1.62483381822875e+01dB,8.30901218667901e+01°)
3.02712249687241e+01	(-1.71475163392299e+01dB,8.04136142102792e+01°)
3.09763323782495e+01	(-1.80438423905319e+01dB,7.78649187342284e+01°)
3.16978638492221e+01	(-1.89369759357504e+01dB,7.54339266558520e+01°)
3.24362019471785e+01	(-1.98266961416145e+01dB,7.31114879688769e+01°)
3.31917381487511e+01	(-2.07128738565506e+01dB,7.08893346024478e+01°)
3.39648730492348e+01	(-2.15954495354541e+01dB,6.87600003883919e+01°)
3.47560165749874e+01	(-2.24744158571179e+01dB,6.67167423391452e+01°)
3.55655882007783e+01	(-2.33498040956592e+01dB,6.47534658993484e+01°)
3.63940171721995e+01	(-2.42216734738520e+01dB,6.28646556011221e+01°)
3.72417427332572e+01	(-2.50901028724155e+01dB,6.10453117474955e+01°)
3.81092143592648e+01	(-2.59551843929236e+01dB,5.92908932383870e+01°)
3.89968919951608e+01	(-2.68170183740947e+01dB,5.75972663442281e+01°)
3.99052462993774e+01	(-2.76757095441634e+01dB,5.59606590569107e+01°)
