Freq.	V(out)
9.16347061107105e+01	(-1.24601887111569e+01dB,1.08537335872807e+02°)
9.37691526127965e+01	(-1.32254408420465e+01dB,1.05254349331672e+02°)
9.59533167607792e+01	(-1.39963776864234e+01dB,1.02082885456862e+02°)
9.81883566274008e+01	(-1.47720387994913e+01dB,9.90174776634646e+01°)
1.00475457260383e+02	(-1.55515959766155e+01dB,9.60527080847001e+01°)
1.02815831310754e+02	(-1.63343361132858e+01dB,9.31832802575138e+01°)
1.05210719675815e+02	(-1.71196452893332e+01dB,9.04040687100142e+01°)
1.07661392157076e+02	(-1.79069943061057e+01dB,8.77101504688367e+01°)
1.10169148133526e+02	(-1.86959257524333e+01dB,8.50968227313947e+01°)
1.12735317250578e+02	(-1.94860425739998e+01dB,8.25596101923286e+01°)
1.15361260125064e+02	(-2.02769980581064e+01dB,8.00942648264132e+01°)
1.18048369066655e+02	(-2.10684871108790e+01dB,7.76967603344089e+01°)
1.20798068816080e+02	(-2.18602386881386e+01dB,7.53632829590001e+01°)
1.23611817300543e+02	(-2.26520092379527e+01dB,7.30902199700684e+01°)
1.26491106406735e+02	(-2.34435770175817e+01dB,7.08741467922242e+01°)
1.29437462771851e+02	(-2.42347371568096e+01dB,6.87118134909747e+01°)
1.32452448593036e+02	(-2.50252973512217e+01dB,6.66001311353626e+01°)
1.35537662455680e+02	(-2.58150740813742e+01dB,6.45361584035562e+01°)
1.38694740181012e+02	(-2.66038892660458e+01dB,6.25170886842483e+01°)
1.41925355693430e+02	(-2.73915672693221e+01dB,6.05402378429002e+01°)
1.45231221908040e+02	(-2.81779321918517e+01dB,5.86030327613008e+01°)
1.48614091638868e+02	(-2.89628053861047e+01dB,5.67030007163548e+01°)
1.52075758528224e+02	(-2.97460031438724e+01dB,5.48377596352946e+01°)
1.55618057997711e+02	(-3.05273345116208e+01dB,5.30050092463359e+01°)
1.59242868221398e+02	(-3.13065991957688e+01dB,5.12025231336562e+01°)
1.62952111121644e+02	(-3.20835855256215e+01dB,4.94281417014650e+01°)
1.66747753388133e+02	(-3.28580684466895e+01dB,4.76797660523842e+01°)
1.70631807520636e+02	(-3.36298075216033e+01dB,4.59553527891632e+01°)
1.74606332896066e+02	(-3.43985449199232e+01dB,4.42529097550483e+01°)
1.78673436860384e+02	(-3.51640033819760e+01dB,4.25704927361573e+01°)
1.82835275845949e+02	(-3.59258841455545e+01dB,4.09062031584094e+01°)
1.87094056514878e+02	(-3.66838648280076e+01dB,3.92581868213859e+01°)
1.91452036929054e+02	(-3.74375972600482e+01dB,3.76246337214737e+01°)
1.95911527747377e+02	(-3.81867052716181e+01dB,3.60037790262556e+01°)
2.00474893450908e+02	(-3.89307824344832e+01dB,3.43939052708319e+01°)
2.05144553596545e+02	(-3.96693897709688e+01dB,3.27933458539576e+01°)
2.09922984099908e+02	(-4.04020534434816e+01dB,3.12004899168610e+01°)
2.14812718548100e+02	(-4.11282624452429e+01dB,2.96137886895334e+01°)
2.19816349543049e+02	(-4.18474663190392e+01dB,2.80317633871963e+01°)
2.24936530076138e+02	(-4.25590729377690e+01dB,2.64530147324779e+01°)
2.30175974934862e+02	(-4.32624463881101e+01dB,2.48762341653301e+01°)
2.35537462142234e+02	(-4.39569050066532e+01dB,2.33002167816235e+01°)
2.41023834429742e+02	(-4.46417196262044e+01dB,2.17238760112820e+01°)
2.46638000744591e+02	(-4.53161120984200e+01dB,2.01462600064765e+01°)
2.52382937792076e+02	(-4.59792541671807e+01dB,1.85665696586028e+01°)
2.58261691613861e+02	(-4.66302667747410e+01dB,1.69841780986475e+01°)
2.64277379203037e+02	(-4.72682198891716e+01dB,1.53986514586958e+01°)
2.70433190156791e+02	(-4.78921329463382e+01dB,1.38097705830324e+01°)
2.76732388367573e+02	(-4.85009760019347e+01dB,1.22175532767409e+01°)
2.83178313753654e+02	(-4.90936716881309e+01dB,1.06222765702919e+01°)
2.89774384029994e+02	(-4.96690980644395e+01dB,9.02449836407355e+00°)
2.96524096520365e+02	(-5.02260924426862e+01dB,7.42507770246793e+00°)
3.03431030011672e+02	(-5.07634562508624e+01dB,5.82519281980808e+00°)
3.10498846651475e+02	(-5.12799609796958e+01dB,4.22635600878347e+00°)
3.17731293889711e+02	(-5.17743552288595e+01dB,2.63042429522640e+00°)
3.25132206465638e+02	(-5.22453728370902e+01dB,1.03960487207385e+00°)
3.32705508441066e+02	(-5.26917420428108e+01dB,-5.43545740045169e-01°)
3.40455215280949e+02	(-5.31121955803859e+01dB,-2.11612976840179e+00°)
3.48385435982430e+02	(-5.35054815736347e+01dB,-3.67492433078304e+00°)
3.56500375253496e+02	(-5.38703750449147e+01dB,-5.21640627803082e+00°)
3.64804335742362e+02	(-5.42056898175905e+01dB,-6.73678610618934e+00°)
3.73301720318794e+02	(-5.45102905548023e+01dB,-8.23205098552173e+00°)
3.81997034408572e+02	(-5.47831046509241e+01dB,-9.69801658388302e+00°)
3.90894888382322e+02	(-5.50231336764283e+01dB,-1.11303869623712e+01°)
3.99999999999997e+02	(-5.52294640739569e+01dB,-1.25248214142800e+01°)
4.09317196912299e+02	(-5.54012768143536e+01dB,-1.38770067301078e+01°)
4.18851419220357e+02	(-5.55378557463700e+01dB,-1.51827330291377e+01°)
4.28607722095040e+02	(-5.56385944117736e+01dB,-1.64379710283658e+01°)
4.38591278457271e+02	(-5.57030011466939e+01dB,-1.76389484452292e+01°)
4.48807381720783e+02	(-5.57307023473580e+01dB,-1.87822231686910e+01°)
4.59261448598750e+02	(-5.57214438403611e+01dB,-1.98647508929084e+01°)
4.69959021975809e+02	(-5.56750903604348e+01dB,-2.08839450890498e+01°)
4.80905773846962e+02	(-5.55916231984894e+01dB,-2.18377274845999e+01°)
4.92107508324949e+02	(-5.54711361360792e+01dB,-2.27245676078897e+01°)
5.03570164717664e+02	(-5.53138298266261e+01dB,-2.35435104137917e+01°)
5.15299820677250e+02	(-5.51200048169010e+01dB,-2.42941915050517e+01°)
5.27302695422559e+02	(-5.48900534235591e+01dB,-2.49768399712407e+01°)
5.39585153036658e+02	(-5.46244506890929e+01dB,-2.55922693532932e+01°)
5.52153705841150e+02	(-5.43237446404045e+01dB,-2.61418576790927e+01°)
5.65015017849098e+02	(-5.39885460629240e+01dB,-2.66275178830043e+01°)
5.78175908298367e+02	(-5.36195179858476e+01dB,-2.70516602049527e+01°)
5.91643355267279e+02	(-5.32173650517688e+01dB,-2.74171483551186e+01°)
6.05424499374479e+02	(-5.27828229187964e+01dB,-2.77272513282630e+01°)
6.19526647564988e+02	(-5.23166478169497e+01dB,-2.79855927629658e+01°)
6.33957276984441e+02	(-5.18196063545972e+01dB,-2.81960996765795e+01°)
6.48724038943568e+02	(-5.12924656459211e+01dB,-2.83629522809018e+01°)
6.63834762975020e+02	(-5.07359838073978e+01dB,-2.84905364129114e+01°)
6.79297460984693e+02	(-5.01509008502776e+01dB,-2.85833999165496e+01°)
6.95120331499745e+02	(-4.95379299769575e+01dB,-2.86462141021426e+01°)
7.11311764015564e+02	(-4.88977492716862e+01dB,-2.86837412050507e+01°)
7.27880343443988e+02	(-4.82309937598509e+01dB,-2.87008085781198e+01°)
7.44834854665142e+02	(-4.75382477947353e+01dB,-2.87022901951393e+01°)
7.62184287185293e+02	(-4.68200377156822e+01dB,-2.86930959245998e+01°)
7.79937839903213e+02	(-4.60768247066136e+01dB,-2.86781689629128e+01°)
7.98104925987546e+02	(-4.53089977684827e+01dB,-2.86624918014124e+01°)
8.16695177867806e+02	(-4.45168667030715e+01dB,-2.86511011494259e+01°)
8.35718452341610e+02	(-4.37006549882541e+01dB,-2.86491123551123e+01°)
8.55184835800887e+02	(-4.28604924060839e+01dB,-2.86617540678081e+01°)
8.75104649579815e+02	(-4.19964072645078e+01dB,-2.86944141857922e+01°)
8.95488455427329e+02	(-4.11083180309230e+01dB,-2.87526985538907e+01°)
9.16347061107102e+02	(-4.01960241711289e+01dB,-2.88425044483538e+01°)
9.37691526127962e+02	(-3.92591959607928e+01dB,-2.89701116585024e+01°)
9.59533167607789e+02	(-3.82973630094550e+01dB,-2.91422950132278e+01°)
9.81883566274005e+02	(-3.73099012118706e+01dB,-2.93664636032021e+01°)
1.00475457260382e+03	(-3.62960178233090e+01dB,-2.96508338582869e+01°)
1.02815831310754e+03	(-3.52547343543229e+01dB,-3.00046462602661e+01°)
1.05210719675814e+03	(-3.41848670151526e+01dB,-3.04384391047227e+01°)
