Freq.	V(out)
2.34979510987905e+03	(-1.00401514543597e+01dB,2.62070758670383e+01°)
2.40452886923482e+03	(-1.11408155045281e+01dB,1.98517683132896e+01°)
2.46053754162475e+03	(-1.22626251370091e+01dB,1.37831506181699e+01°)
2.51785082358833e+03	(-1.34010678621848e+01dB,7.98479502930811e+00°)
2.57649910338626e+03	(-1.45525257564319e+01dB,2.43914281944870e+00°)
2.63651347711281e+03	(-1.57141392145558e+01dB,-2.87142192638936e+00°)
2.69792576518330e+03	(-1.68836724387868e+01dB,-7.96389084367665e+00°)
2.76076852920576e+03	(-1.80593916674410e+01dB,-1.28542388899776e+01°)
2.82507508924550e+03	(-1.92399606808300e+01dB,-1.75572330394729e+01°)
2.89087954149184e+03	(-2.04243542763813e+01dB,-2.20863736520491e+01°)
2.95821677633640e+03	(-2.16117883844283e+01dB,-2.64539184994035e+01°)
3.02712249687241e+03	(-2.28016646243889e+01dB,-3.06709545677850e+01°)
3.09763323782495e+03	(-2.39935268899005e+01dB,-3.47474942805720e+01°)
3.16978638492221e+03	(-2.51870276826858e+01dB,-3.86925811143675e+01°)
3.24362019471785e+03	(-2.63819021966102e+01dB,-4.25143953774606e+01°)
3.31917381487511e+03	(-2.75779484781618e+01dB,-4.62203548249212e+01°)
3.39648730492348e+03	(-2.87750123024482e+01dB,-4.98172073396945e+01°)
3.47560165749874e+03	(-2.99729756803707e+01dB,-5.33111145287594e+01°)
3.55655882007783e+03	(-3.11717481452913e+01dB,-5.67077260712040e+01°)
3.63940171721995e+03	(-3.23712601571709e+01dB,-6.00122452254451e+01°)
3.72417427332572e+03	(-3.35714581135124e+01dB,-6.32294862037953e+01°)
3.81092143592648e+03	(-3.47723005754477e+01dB,-6.63639242541182e+01°)
3.89968919951607e+03	(-3.59737554098611e+01dB,-6.94197393169619e+01°)
3.99052462993774e+03	(-3.71757976198452e+01dB,-7.24008540956811e+01°)
4.08347588933904e+03	(-3.83784076905266e+01dB,-7.53109673145297e+01°)
4.17859226170806e+03	(-3.95815703190443e+01dB,-7.81535828629607e+01°)
4.27592417900445e+03	(-4.07852734291745e+01dB,-8.09320354440000e+01°)
4.37552324789909e+03	(-4.19895073950614e+01dB,-8.36495132667019e+01°)
4.47744227713666e+03	(-4.31942644165770e+01dB,-8.63090782506557e+01°)
4.58173530553553e+03	(-4.43995380023535e+01dB,-8.89136841457713e+01°)
4.68845763063982e+03	(-4.56053225266111e+01dB,-9.14661929135832e+01°)
4.79766583803896e+03	(-4.68116128333429e+01dB,-9.39693896668160e+01°)
4.90941783137004e+03	(-4.80184038668406e+01dB,-9.64259964214079e+01°)
5.02377286301914e+03	(-4.92256903114293e+01dB,-9.88386848788393e+01°)
5.14079156553771e+03	(-5.04334662259653e+01dB,-1.01210088425654e+02°)
5.26053598379074e+03	(-5.16417246604115e+01dB,-1.03542813510690e+02°)
5.38306960785381e+03	(-5.28504572428361e+01dB,-1.05839450537979e+02°)
5.50845740667631e+03	(-5.40596537256139e+01dB,-1.08102584393797e+02°)
5.63676586252888e+03	(-5.52693014795655e+01dB,-1.10334804709265e+02°)
5.76806300625319e+03	(-5.64793849243049e+01dB,-1.12538715944541e+02°)
5.90241845333274e+03	(-5.76898848822449e+01dB,-1.14716947366403e+02°)
